pais,qtd_litros,vlr_usd,ano
Afeganistão,,,2016
África do Sul,,,2016
"Alemanha, República Democrática",14012,68109,2016
Angola,7359,35390,2016
Anguilla,,,2016
Antígua e Barbuda,,,2016
Antilhas Holandesas,16641,26450,2016
Arábia Saudita,,,2016
Argentina,,,2016
Aruba,,,2016
Austrália,1954,13799,2016
Áustria,675,5220,2016
Bahamas,,,2016
Bangladesh,,,2016
Barbados,,,2016
Barein,,,2016
Bélgica,7200,46534,2016
Belice,,,2016
Benin,5040,20333,2016
Bermudas,,,2016
Bolívia,13586,16902,2016
Bósnia-Herzegovina,,,2016
Brasil,,,2016
Bulgária,,,2016
Cabo Verde,,,2016
Camarões,,,2016
Canadá,13711,71096,2016
Catar,,,2016
"Cayman, Ilhas",,,2016
Chile,,,2016
China,134106,499622,2016
Chipre,,,2016
Cingapura,5445,13199,2016
"Cocos (Keeling), Ilhas",,,2016
Colômbia,,,2016
Comores,,,2016
Congo,,,2016
"Coreia, Republica Sul",8,20,2016
Costa do Marfim,,,2016
Costa Rica,,,2016
Croácia,,,2016
Cuba,63741,69830,2016
Curaçao,,,2016
Dinamarca,1278,8171,2016
Dominica,,,2016
El Salvador,,,2016
Emirados Arabes Unidos,585,2760,2016
Equador,,,2016
"Eslovaca, Republica",,,2016
Espanha,,,2016
Estados Unidos,258072,687411,2016
Estônia,900,4800,2016
Filipinas,,,2016
Finlândia,7617,41003,2016
França,6037,30055,2016
Gana,,,2016
Gibraltar,,,2016
Granada,,,2016
Grécia,,,2016
Guatemala,,,2016
Guiana,,,2016
Guiana Francesa,,,2016
Guine Bissau,,,2016
Guine Equatorial,,,2016
Haiti,,,2016
Honduras,,,2016
Hong Kong,6975,86199,2016
Hungria,,,2016
Ilha de Man,,,2016
Ilhas Virgens,,,2016
India,,,2016
Indonésia,,,2016
Irã,,,2016
Iraque,,,2016
Irlanda,,,2016
Itália,585,3465,2016
Jamaica,,,2016
Japão,34341,90954,2016
Jordânia,,,2016
Letônia,,,2016
Líbano,,,2016
Libéria,,,2016
Luxemburgo,2759,21426,2016
Macau,,,2016
Malásia,,,2016
Malavi,,,2016
Malta,,,2016
"Marshall, Ilhas",,,2016
Martinica,,,2016
Mauritânia,,,2016
México,,,2016
Moçambique,,,2016
Montenegro,,,2016
Namíbia,,,2016
Nicarágua,,,2016
Nigéria,,,2016
Noruega,,,2016
Nova Caledônia,,,2016
Nova Zelândia,504,9472,2016
Omã,,,2016
Países Baixos,42953,190203,2016
Palau,,,2016
Panamá,,,2016
Paraguai,985739,1655417,2016
Peru,,,2016
Pitcairn,,,2016
Polônia,11457,35402,2016
Porto Rico,,,2016
Portugal,,,2016
Quênia,,,2016
Reino Unido,117044,536681,2016
República Dominicana,,,2016
Rússia,,,2016
São Cristóvão e Névis,,,2016
São Tomé e Príncipe,,,2016
São Vicente e Granadinas,,,2016
Senegal,,,2016
Serra Leoa,,,2016
Singapura,,,2016
Suazilândia,,,2016
Suécia,291,1214,2016
Suíça,4230,33340,2016
Suriname,900,1375,2016
Tailândia,,,2016
Taiwan (Formosa),16967,80379,2016
Tanzânia,,,2016
"Tcheca, República",3837,28473,2016
Togo,,,2016
Toquelau,,,2016
Trinidade Tobago,,,2016
Tunísia,,,2016
Turquia,,,2016
Tuvalu,,,2016
Uruguai,,,2016
Vanuatu,,,2016
Venezuela,,,2016
Vietnã,,,2016
