pais,qtd_litros,vlr_usd,ano
Afeganistão,,,2022
África do Sul,,,2022
"Alemanha, República Democrática",7630,45367,2022
Angola,4068,4761,2022
Anguilla,,,2022
Antígua e Barbuda,419,1866,2022
Antilhas Holandesas,,,2022
Arábia Saudita,,,2022
Argentina,480,3232,2022
Aruba,,,2022
Austrália,1424,12299,2022
Áustria,6,212,2022
Bahamas,1215,5799,2022
Bangladesh,7,84,2022
Barbados,220,1145,2022
Barein,979,2789,2022
Bélgica,828,6145,2022
Belice,,,2022
Benin,,,2022
Bermudas,,,2022
Bolívia,32530,49011,2022
Bósnia-Herzegovina,,,2022
Brasil,2504,952,2022
Bulgária,5,31,2022
Cabo Verde,,,2022
Camarões,,,2022
Canadá,1183,5784,2022
Catar,,,2022
"Cayman, Ilhas",160,958,2022
Chile,2094,7986,2022
China,105395,404647,2022
Chipre,1521,4458,2022
Cingapura,,,2022
"Cocos (Keeling), Ilhas",26,60,2022
Colômbia,8217,14068,2022
Comores,,,2022
Congo,,,2022
"Coreia, Republica Sul",77,257,2022
Costa do Marfim,,,2022
Costa Rica,,,2022
Croácia,34,484,2022
Cuba,16,6,2022
Curaçao,40673,66950,2022
Dinamarca,2,6,2022
Dominica,1485,2223,2022
El Salvador,,,2022
Emirados Arabes Unidos,4781,85465,2022
Equador,135,210,2022
"Eslovaca, Republica",,,2022
Espanha,,,2022
Estados Unidos,220373,447893,2022
Estônia,,,2022
Filipinas,375,790,2022
Finlândia,,,2022
França,5694,25008,2022
Gana,35949,49304,2022
Gibraltar,,,2022
Granada,5610,7914,2022
Grécia,920,2426,2022
Guatemala,1283,5350,2022
Guiana,2064,5823,2022
Guiana Francesa,22,18,2022
Guine Bissau,,,2022
Guine Equatorial,,,2022
Haiti,553503,741014,2022
Honduras,,,2022
Hong Kong,9371,38218,2022
Hungria,,,2022
Ilha de Man,165,641,2022
Ilhas Virgens,,,2022
India,247,1021,2022
Indonésia,,,2022
Irã,47,90,2022
Iraque,,,2022
Irlanda,,,2022
Itália,1129,6151,2022
Jamaica,,,2022
Japão,37324,82208,2022
Jordânia,,,2022
Letônia,,,2022
Líbano,,,2022
Libéria,9145,34815,2022
Luxemburgo,36,802,2022
Macau,,,2022
Malásia,,,2022
Malavi,,,2022
Malta,3127,15587,2022
"Marshall, Ilhas",7240,27178,2022
Martinica,,,2022
Mauritânia,,,2022
México,6,33,2022
Moçambique,383,1927,2022
Montenegro,,,2022
Namíbia,,,2022
Nicarágua,,,2022
Nigéria,32234,50283,2022
Noruega,2711,40316,2022
Nova Caledônia,,,2022
Nova Zelândia,63,156,2022
Omã,194,670,2022
Países Baixos,7034,37240,2022
Palau,,,2022
Panamá,11490,49392,2022
Paraguai,5076670,7156293,2022
Peru,,,2022
Pitcairn,,,2022
Polônia,,,2022
Porto Rico,,,2022
Portugal,1918,7613,2022
Quênia,1440,2080,2022
Reino Unido,18835,138154,2022
República Dominicana,,,2022
Rússia,66046,118618,2022
São Cristóvão e Névis,,,2022
São Tomé e Príncipe,,,2022
São Vicente e Granadinas,20,51,2022
Senegal,,,2022
Serra Leoa,8101,15182,2022
Singapura,4322,15434,2022
Suazilândia,,,2022
Suécia,5,18,2022
Suíça,1584,20863,2022
Suriname,1225,3360,2022
Tailândia,432,1713,2022
Taiwan (Formosa),25,277,2022
Tanzânia,,,2022
"Tcheca, República",1305,9997,2022
Togo,17317,25608,2022
Toquelau,,,2022
Trinidade Tobago,,,2022
Tunísia,,,2022
Turquia,418,503,2022
Tuvalu,,,2022
Uruguai,637117,997367,2022
Vanuatu,,,2022
Venezuela,23220,32351,2022
Vietnã,130,277,2022
