pais,qtd_litros,vlr_usd,ano
Afeganistão,,,2012
África do Sul,,,2012
"Alemanha, República Democrática",8189,56342,2012
Angola,2833,8861,2012
Anguilla,,,2012
Antígua e Barbuda,,,2012
Antilhas Holandesas,9247,14081,2012
Arábia Saudita,,,2012
Argentina,,,2012
Aruba,,,2012
Austrália,9345,56045,2012
Áustria,,,2012
Bahamas,1374,12087,2012
Bangladesh,,,2012
Barbados,,,2012
Barein,,,2012
Bélgica,16132,90718,2012
Belice,,,2012
Benin,,,2012
Bermudas,,,2012
Bolívia,11868,16804,2012
Bósnia-Herzegovina,,,2012
Brasil,,,2012
Bulgária,,,2012
Cabo Verde,,,2012
Camarões,,,2012
Canadá,14304,146035,2012
Catar,,,2012
"Cayman, Ilhas",,,2012
Chile,8550,15438,2012
China,87905,642177,2012
Chipre,,,2012
Cingapura,1212,5310,2012
"Cocos (Keeling), Ilhas",,,2012
Colômbia,,,2012
Comores,,,2012
Congo,,,2012
"Coreia, Republica Sul",,,2012
Costa do Marfim,,,2012
Costa Rica,,,2012
Croácia,,,2012
Cuba,,,2012
Curaçao,,,2012
Dinamarca,4716,23802,2012
Dominica,,,2012
El Salvador,,,2012
Emirados Arabes Unidos,675,3300,2012
Equador,,,2012
"Eslovaca, Republica",,,2012
Espanha,,,2012
Estados Unidos,146585,303986,2012
Estônia,3321,19384,2012
Filipinas,,,2012
Finlândia,17100,67959,2012
França,195604,185791,2012
Gana,,,2012
Gibraltar,,,2012
Granada,,,2012
Grécia,,,2012
Guatemala,,,2012
Guiana,,,2012
Guiana Francesa,,,2012
Guine Bissau,,,2012
Guine Equatorial,819,2530,2012
Haiti,,,2012
Honduras,,,2012
Hong Kong,1609,7653,2012
Hungria,,,2012
Ilha de Man,,,2012
Ilhas Virgens,,,2012
India,,,2012
Indonésia,,,2012
Irã,,,2012
Iraque,,,2012
Irlanda,,,2012
Itália,792,5622,2012
Jamaica,,,2012
Japão,29281,116961,2012
Jordânia,,,2012
Letônia,,,2012
Líbano,,,2012
Libéria,,,2012
Luxemburgo,2444,16547,2012
Macau,,,2012
Malásia,,,2012
Malavi,,,2012
Malta,,,2012
"Marshall, Ilhas",,,2012
Martinica,,,2012
Mauritânia,,,2012
México,,,2012
Moçambique,,,2012
Montenegro,,,2012
Namíbia,,,2012
Nicarágua,,,2012
Nigéria,6449,10196,2012
Noruega,5104,31515,2012
Nova Caledônia,,,2012
Nova Zelândia,2364,8817,2012
Omã,,,2012
Países Baixos,134879,539641,2012
Palau,,,2012
Panamá,39,2262,2012
Paraguai,354824,428279,2012
Peru,,,2012
Pitcairn,,,2012
Polônia,21663,89158,2012
Porto Rico,,,2012
Portugal,47172,47022,2012
Quênia,94,458,2012
Reino Unido,82937,334856,2012
República Dominicana,,,2012
Rússia,4528176,2103968,2012
São Cristóvão e Névis,,,2012
São Tomé e Príncipe,,,2012
São Vicente e Granadinas,,,2012
Senegal,,,2012
Serra Leoa,,,2012
Singapura,,,2012
Suazilândia,,,2012
Suécia,2705,17280,2012
Suíça,4014,47240,2012
Suriname,396,1288,2012
Tailândia,,,2012
Taiwan (Formosa),,,2012
Tanzânia,,,2012
"Tcheca, República",7960,27789,2012
Togo,,,2012
Toquelau,,,2012
Trinidade Tobago,531,2720,2012
Tunísia,,,2012
Turquia,,,2012
Tuvalu,,,2012
Uruguai,1135,3879,2012
Vanuatu,,,2012
Venezuela,1029,7492,2012
Vietnã,,,2012
