pais,qtd_litros,vlr_usd,ano
Afeganistão,,,2014
África do Sul,,,2014
"Alemanha, República Democrática",213348,761653,2014
Angola,12182,23124,2014
Anguilla,,,2014
Antígua e Barbuda,,,2014
Antilhas Holandesas,4455,7169,2014
Arábia Saudita,,,2014
Argentina,20385,95130,2014
Aruba,450,755,2014
Austrália,6308,43709,2014
Áustria,,,2014
Bahamas,,,2014
Bangladesh,,,2014
Barbados,,,2014
Barein,,,2014
Bélgica,151320,704093,2014
Belice,,,2014
Benin,,,2014
Bermudas,,,2014
Bolívia,12534,18303,2014
Bósnia-Herzegovina,,,2014
Brasil,,,2014
Bulgária,,,2014
Cabo Verde,,,2014
Camarões,,,2014
Canadá,35082,226875,2014
Catar,,,2014
"Cayman, Ilhas",,,2014
Chile,,,2014
China,64040,455340,2014
Chipre,,,2014
Cingapura,541,3887,2014
"Cocos (Keeling), Ilhas",,,2014
Colômbia,,,2014
Comores,,,2014
Congo,,,2014
"Coreia, Republica Sul",,,2014
Costa do Marfim,,,2014
Costa Rica,,,2014
Croácia,,,2014
Cuba,38875,43200,2014
Curaçao,,,2014
Dinamarca,3240,16871,2014
Dominica,,,2014
El Salvador,,,2014
Emirados Arabes Unidos,640,3381,2014
Equador,,,2014
"Eslovaca, Republica",,,2014
Espanha,,,2014
Estados Unidos,222267,494216,2014
Estônia,,,2014
Filipinas,,,2014
Finlândia,12960,94962,2014
França,33755,167807,2014
Gana,,,2014
Gibraltar,,,2014
Granada,,,2014
Grécia,,,2014
Guatemala,,,2014
Guiana,,,2014
Guiana Francesa,,,2014
Guine Bissau,,,2014
Guine Equatorial,5646,11983,2014
Haiti,,,2014
Honduras,,,2014
Hong Kong,18130,63534,2014
Hungria,,,2014
Ilha de Man,,,2014
Ilhas Virgens,,,2014
India,,,2014
Indonésia,,,2014
Irã,,,2014
Iraque,,,2014
Irlanda,,,2014
Itália,604,2492,2014
Jamaica,,,2014
Japão,106426,401774,2014
Jordânia,,,2014
Letônia,,,2014
Líbano,,,2014
Libéria,,,2014
Luxemburgo,8281,52400,2014
Macau,,,2014
Malásia,,,2014
Malavi,,,2014
Malta,,,2014
"Marshall, Ilhas",,,2014
Martinica,,,2014
Mauritânia,,,2014
México,1521,24336,2014
Moçambique,,,2014
Montenegro,,,2014
Namíbia,,,2014
Nicarágua,,,2014
Nigéria,,,2014
Noruega,7179,50464,2014
Nova Caledônia,,,2014
Nova Zelândia,2800,13675,2014
Omã,,,2014
Países Baixos,165289,773767,2014
Palau,,,2014
Panamá,,,2014
Paraguai,521847,908028,2014
Peru,,,2014
Pitcairn,,,2014
Polônia,30181,107957,2014
Porto Rico,,,2014
Portugal,71544,79141,2014
Quênia,,,2014
Reino Unido,305807,1373747,2014
República Dominicana,,,2014
Rússia,190656,61440,2014
São Cristóvão e Névis,,,2014
São Tomé e Príncipe,,,2014
São Vicente e Granadinas,,,2014
Senegal,,,2014
Serra Leoa,,,2014
Singapura,,,2014
Suazilândia,,,2014
Suécia,10404,51057,2014
Suíça,27933,231762,2014
Suriname,6,19,2014
Tailândia,,,2014
Taiwan (Formosa),12519,67907,2014
Tanzânia,,,2014
"Tcheca, República",4500,35005,2014
Togo,,,2014
Toquelau,,,2014
Trinidade Tobago,360,1600,2014
Tunísia,,,2014
Turquia,,,2014
Tuvalu,,,2014
Uruguai,,,2014
Vanuatu,,,2014
Venezuela,14,232,2014
Vietnã,,,2014
