pais,qtd_litros,vlr_usd,ano
Afeganistão,,,2023
África do Sul,117,698,2023
"Alemanha, República Democrática",4806,31853,2023
Angola,,,2023
Anguilla,,,2023
Antígua e Barbuda,383,1848,2023
Antilhas Holandesas,,,2023
Arábia Saudita,124,142,2023
Argentina,4545,36133,2023
Aruba,,,2023
Austrália,2485,13565,2023
Áustria,,,2023
Bahamas,1348,7402,2023
Bangladesh,,,2023
Barbados,58,303,2023
Barein,283,1684,2023
Bélgica,95,683,2023
Belice,,,2023
Benin,,,2023
Bermudas,16,153,2023
Bolívia,21926,36950,2023
Bósnia-Herzegovina,,,2023
Brasil,,,2023
Bulgária,,,2023
Cabo Verde,,,2023
Camarões,,,2023
Canadá,11539,42179,2023
Catar,5,18,2023
"Cayman, Ilhas",438,2632,2023
Chile,9,63,2023
China,73917,183096,2023
Chipre,524,2995,2023
Cingapura,,,2023
"Cocos (Keeling), Ilhas",,,2023
Colômbia,450,1259,2023
Comores,,,2023
Congo,17100,26600,2023
"Coreia, Republica Sul",25,171,2023
Costa do Marfim,,,2023
Costa Rica,,,2023
Croácia,,,2023
Cuba,,,2023
Curaçao,25135,40807,2023
Dinamarca,1734,15261,2023
Dominica,,,2023
El Salvador,,,2023
Emirados Arabes Unidos,1417,6762,2023
Equador,2790,4392,2023
"Eslovaca, Republica",,,2023
Espanha,180,4171,2023
Estados Unidos,229839,429091,2023
Estônia,,,2023
Filipinas,94,334,2023
Finlândia,5,11,2023
França,2265,14722,2023
Gana,7237,29473,2023
Gibraltar,,,2023
Granada,,,2023
Grécia,1294,3214,2023
Guatemala,2053,3758,2023
Guiana,33651,88715,2023
Guiana Francesa,,,2023
Guine Bissau,,,2023
Guine Equatorial,,,2023
Haiti,559645,871661,2023
Honduras,,,2023
Hong Kong,16255,71025,2023
Hungria,,,2023
Ilha de Man,1428,4533,2023
Ilhas Virgens,,,2023
India,60,170,2023
Indonésia,9,30,2023
Irã,,,2023
Iraque,,,2023
Irlanda,150,377,2023
Itália,2922,27665,2023
Jamaica,,,2023
Japão,22942,57780,2023
Jordânia,,,2023
Letônia,8,8,2023
Líbano,,,2023
Libéria,39784,42463,2023
Luxemburgo,581,7048,2023
Macau,7,6,2023
Malásia,,,2023
Malavi,3660,6252,2023
Malta,6561,24199,2023
"Marshall, Ilhas",7417,31691,2023
Martinica,9,31,2023
Mauritânia,,,2023
México,3,19,2023
Moçambique,,,2023
Montenegro,,,2023
Namíbia,,,2023
Nicarágua,,,2023
Nigéria,10800,16464,2023
Noruega,861,4243,2023
Nova Caledônia,,,2023
Nova Zelândia,338,7177,2023
Omã,,,2023
Países Baixos,2244,4958,2023
Palau,45,143,2023
Panamá,14785,68173,2023
Paraguai,3780378,5517263,2023
Peru,47277,84282,2023
Pitcairn,11,22,2023
Polônia,298,590,2023
Porto Rico,,,2023
Portugal,13742,46311,2023
Quênia,,,2023
Reino Unido,11326,84547,2023
República Dominicana,,,2023
Rússia,,,2023
São Cristóvão e Névis,16,31,2023
São Tomé e Príncipe,,,2023
São Vicente e Granadinas,39,139,2023
Senegal,,,2023
Serra Leoa,23200,38548,2023
Singapura,3941,19781,2023
Suazilândia,,,2023
Suécia,,,2023
Suíça,2500,28763,2023
Suriname,3105,5235,2023
Tailândia,189,1387,2023
Taiwan (Formosa),4208,19998,2023
Tanzânia,,,2023
"Tcheca, República",405,3348,2023
Togo,14550,25235,2023
Toquelau,3,10,2023
Trinidade Tobago,,,2023
Tunísia,,,2023
Turquia,28104,95421,2023
Tuvalu,,,2023
Uruguai,326093,454271,2023
Vanuatu,,,2023
Venezuela,141030,220512,2023
Vietnã,72,128,2023
