pais,qtd_litros,vlr_usd,ano
Afeganistão,,,2010
África do Sul,,,2010
"Alemanha, República Democrática",27715,138666,2010
Angola,33557,189891,2010
Anguilla,,,2010
Antígua e Barbuda,,,2010
Antilhas Holandesas,9810,12808,2010
Arábia Saudita,,,2010
Argentina,,,2010
Aruba,,,2010
Austrália,1823,17960,2010
Áustria,,,2010
Bahamas,3175,12759,2010
Bangladesh,,,2010
Barbados,,,2010
Barein,,,2010
Bélgica,42532,185411,2010
Belice,,,2010
Benin,,,2010
Bermudas,,,2010
Bolívia,54,282,2010
Bósnia-Herzegovina,,,2010
Brasil,,,2010
Bulgária,,,2010
Cabo Verde,11991,49366,2010
Camarões,,,2010
Canadá,,,2010
Catar,,,2010
"Cayman, Ilhas",,,2010
Chile,,,2010
China,795,2358,2010
Chipre,,,2010
Cingapura,1533,5504,2010
"Cocos (Keeling), Ilhas",,,2010
Colômbia,,,2010
Comores,,,2010
Congo,,,2010
"Coreia, Republica Sul",,,2010
Costa do Marfim,,,2010
Costa Rica,,,2010
Croácia,,,2010
Cuba,,,2010
Curaçao,,,2010
Dinamarca,7034,69161,2010
Dominica,,,2010
El Salvador,,,2010
Emirados Arabes Unidos,1035,3206,2010
Equador,,,2010
"Eslovaca, Republica",,,2010
Espanha,,,2010
Estados Unidos,228968,478630,2010
Estônia,15848,40778,2010
Filipinas,,,2010
Finlândia,,,2010
França,3614,18904,2010
Gana,,,2010
Gibraltar,,,2010
Granada,,,2010
Grécia,,,2010
Guatemala,,,2010
Guiana,783,3654,2010
Guiana Francesa,,,2010
Guine Bissau,,,2010
Guine Equatorial,410,1015,2010
Haiti,2700,3750,2010
Honduras,,,2010
Hong Kong,,,2010
Hungria,540,4103,2010
Ilha de Man,,,2010
Ilhas Virgens,,,2010
India,,,2010
Indonésia,,,2010
Irã,,,2010
Iraque,,,2010
Irlanda,3969,42795,2010
Itália,1458,4828,2010
Jamaica,,,2010
Japão,112178,74628,2010
Jordânia,,,2010
Letônia,,,2010
Líbano,,,2010
Libéria,,,2010
Luxemburgo,7344,32549,2010
Macau,,,2010
Malásia,,,2010
Malavi,,,2010
Malta,,,2010
"Marshall, Ilhas",,,2010
Martinica,,,2010
Mauritânia,,,2010
México,,,2010
Moçambique,,,2010
Montenegro,,,2010
Namíbia,,,2010
Nicarágua,,,2010
Nigéria,,,2010
Noruega,,,2010
Nova Caledônia,,,2010
Nova Zelândia,,,2010
Omã,,,2010
Países Baixos,87368,302182,2010
Palau,,,2010
Panamá,,,2010
Paraguai,510989,449197,2010
Peru,,,2010
Pitcairn,,,2010
Polônia,20464,95198,2010
Porto Rico,,,2010
Portugal,4577,18970,2010
Quênia,,,2010
Reino Unido,123624,295690,2010
República Dominicana,,,2010
Rússia,,,2010
São Cristóvão e Névis,,,2010
São Tomé e Príncipe,,,2010
São Vicente e Granadinas,,,2010
Senegal,,,2010
Serra Leoa,,,2010
Singapura,,,2010
Suazilândia,,,2010
Suécia,,,2010
Suíça,2025,21600,2010
Suriname,1836,1269,2010
Tailândia,,,2010
Taiwan (Formosa),,,2010
Tanzânia,,,2010
"Tcheca, República",1091,5285,2010
Togo,,,2010
Toquelau,,,2010
Trinidade Tobago,,,2010
Tunísia,,,2010
Turquia,,,2010
Tuvalu,,,2010
Uruguai,914,2929,2010
Vanuatu,,,2010
Venezuela,,,2010
Vietnã,8820,9977,2010
