pais,qtd_litros,vlr_usd,ano
Afeganistão,,,2013
África do Sul,,,2013
"Alemanha, República Democrática",61699,265978,2013
Angola,1573,9300,2013
Anguilla,,,2013
Antígua e Barbuda,,,2013
Antilhas Holandesas,11281,19565,2013
Arábia Saudita,,,2013
Argentina,,,2013
Aruba,,,2013
Austrália,16707,101715,2013
Áustria,,,2013
Bahamas,581,5145,2013
Bangladesh,,,2013
Barbados,,,2013
Barein,,,2013
Bélgica,22461,95893,2013
Belice,,,2013
Benin,,,2013
Bermudas,,,2013
Bolívia,19147,25998,2013
Bósnia-Herzegovina,,,2013
Brasil,,,2013
Bulgária,,,2013
Cabo Verde,,,2013
Camarões,,,2013
Canadá,25329,174643,2013
Catar,,,2013
"Cayman, Ilhas",,,2013
Chile,,,2013
China,40929,279956,2013
Chipre,,,2013
Cingapura,766,5779,2013
"Cocos (Keeling), Ilhas",,,2013
Colômbia,8,30,2013
Comores,,,2013
Congo,,,2013
"Coreia, Republica Sul",,,2013
Costa do Marfim,,,2013
Costa Rica,,,2013
Croácia,,,2013
Cuba,,,2013
Curaçao,,,2013
Dinamarca,17892,101915,2013
Dominica,,,2013
El Salvador,,,2013
Emirados Arabes Unidos,,,2013
Equador,,,2013
"Eslovaca, Republica",,,2013
Espanha,1972980,3748940,2013
Estados Unidos,245368,786556,2013
Estônia,,,2013
Filipinas,,,2013
Finlândia,36682,283114,2013
França,6885,42256,2013
Gana,,,2013
Gibraltar,,,2013
Granada,,,2013
Grécia,,,2013
Guatemala,,,2013
Guiana,,,2013
Guiana Francesa,,,2013
Guine Bissau,,,2013
Guine Equatorial,1108,5336,2013
Haiti,,,2013
Honduras,,,2013
Hong Kong,16013,61224,2013
Hungria,,,2013
Ilha de Man,,,2013
Ilhas Virgens,,,2013
India,,,2013
Indonésia,,,2013
Irã,,,2013
Iraque,,,2013
Irlanda,,,2013
Itália,1710,11967,2013
Jamaica,,,2013
Japão,91988,429088,2013
Jordânia,,,2013
Letônia,,,2013
Líbano,,,2013
Libéria,,,2013
Luxemburgo,5135,29474,2013
Macau,,,2013
Malásia,,,2013
Malavi,,,2013
Malta,,,2013
"Marshall, Ilhas",,,2013
Martinica,,,2013
Mauritânia,,,2013
México,,,2013
Moçambique,,,2013
Montenegro,,,2013
Namíbia,,,2013
Nicarágua,,,2013
Nigéria,1350,2245,2013
Noruega,2375,19008,2013
Nova Caledônia,,,2013
Nova Zelândia,1004,4092,2013
Omã,,,2013
Países Baixos,57792,255690,2013
Palau,,,2013
Panamá,,,2013
Paraguai,481564,680828,2013
Peru,,,2013
Pitcairn,,,2013
Polônia,19249,90960,2013
Porto Rico,,,2013
Portugal,23810,17627,2013
Quênia,6,4,2013
Reino Unido,59161,305005,2013
República Dominicana,,,2013
Rússia,5893291,14795694,2013
São Cristóvão e Névis,,,2013
São Tomé e Príncipe,,,2013
São Vicente e Granadinas,,,2013
Senegal,,,2013
Serra Leoa,,,2013
Singapura,,,2013
Suazilândia,,,2013
Suécia,3195,20183,2013
Suíça,2997,29785,2013
Suriname,1800,2960,2013
Tailândia,,,2013
Taiwan (Formosa),,,2013
Tanzânia,,,2013
"Tcheca, República",3697,23549,2013
Togo,,,2013
Toquelau,,,2013
Trinidade Tobago,,,2013
Tunísia,,,2013
Turquia,,,2013
Tuvalu,,,2013
Uruguai,1526,13343,2013
Vanuatu,,,2013
Venezuela,,,2013
Vietnã,,,2013
