pais,qtd_litros,vlr_usd,ano
Afeganistão,,,2020
África do Sul,4,21,2020
"Alemanha, República Democrática",6261,32605,2020
Angola,,,2020
Anguilla,,,2020
Antígua e Barbuda,624,1864,2020
Antilhas Holandesas,,,2020
Arábia Saudita,,,2020
Argentina,1015,4176,2020
Aruba,,,2020
Austrália,1013,3413,2020
Áustria,,,2020
Bahamas,1212,3703,2020
Bangladesh,3,29,2020
Barbados,143,169,2020
Barein,8,28,2020
Bélgica,3166,20460,2020
Belice,,,2020
Benin,,,2020
Bermudas,,,2020
Bolívia,9900,16025,2020
Bósnia-Herzegovina,45,52,2020
Brasil,,,2020
Bulgária,,,2020
Cabo Verde,,,2020
Camarões,0,178,2020
Canadá,1672,8431,2020
Catar,,,2020
"Cayman, Ilhas",123,339,2020
Chile,11,13,2020
China,122253,363000,2020
Chipre,2478,6785,2020
Cingapura,4049,9316,2020
"Cocos (Keeling), Ilhas",,,2020
Colômbia,15660,23780,2020
Comores,9,25,2020
Congo,,,2020
"Coreia, Republica Sul",103,433,2020
Costa do Marfim,,,2020
Costa Rica,,,2020
Croácia,21,123,2020
Cuba,,,2020
Curaçao,47962,65986,2020
Dinamarca,659,1962,2020
Dominica,,,2020
El Salvador,,,2020
Emirados Arabes Unidos,581,2279,2020
Equador,3780,3824,2020
"Eslovaca, Republica",,,2020
Espanha,28,126,2020
Estados Unidos,300178,610793,2020
Estônia,,,2020
Filipinas,719,1548,2020
Finlândia,,,2020
França,12622,57144,2020
Gana,18810,22027,2020
Gibraltar,769,2860,2020
Granada,,,2020
Grécia,6859,18092,2020
Guatemala,,,2020
Guiana,990,2577,2020
Guiana Francesa,,,2020
Guine Bissau,,,2020
Guine Equatorial,,,2020
Haiti,399128,471152,2020
Honduras,,,2020
Hong Kong,15159,41987,2020
Hungria,,,2020
Ilha de Man,11,121,2020
Ilhas Virgens,,,2020
India,7,10,2020
Indonésia,5,6,2020
Irã,21,35,2020
Iraque,,,2020
Irlanda,29,257,2020
Itália,91,376,2020
Jamaica,,,2020
Japão,36442,92674,2020
Jordânia,12,52,2020
Letônia,,,2020
Líbano,,,2020
Libéria,5155,17624,2020
Luxemburgo,1086,5110,2020
Macau,,,2020
Malásia,,,2020
Malavi,,,2020
Malta,3490,9688,2020
"Marshall, Ilhas",6270,19639,2020
Martinica,,,2020
Mauritânia,,,2020
México,24,226,2020
Moçambique,,,2020
Montenegro,9,20,2020
Namíbia,,,2020
Nicarágua,,,2020
Nigéria,12094,26514,2020
Noruega,1859,15134,2020
Nova Caledônia,,,2020
Nova Zelândia,95,515,2020
Omã,,,2020
Países Baixos,248,1532,2020
Palau,,,2020
Panamá,10821,28372,2020
Paraguai,3299013,3869243,2020
Peru,,,2020
Pitcairn,,,2020
Polônia,74,86,2020
Porto Rico,,,2020
Portugal,7958,34518,2020
Quênia,,,2020
Reino Unido,22913,82722,2020
República Dominicana,,,2020
Rússia,1463,8550,2020
São Cristóvão e Névis,,,2020
São Tomé e Príncipe,,,2020
São Vicente e Granadinas,,,2020
Senegal,,,2020
Serra Leoa,9240,13050,2020
Singapura,,,2020
Suazilândia,,,2020
Suécia,6,24,2020
Suíça,2827,27930,2020
Suriname,4185,5277,2020
Tailândia,534,1753,2020
Taiwan (Formosa),963,4673,2020
Tanzânia,,,2020
"Tcheca, República",563,4805,2020
Togo,,,2020
Toquelau,,,2020
Trinidade Tobago,,,2020
Tunísia,,,2020
Turquia,,,2020
Tuvalu,2,4,2020
Uruguai,,,2020
Vanuatu,18,31,2020
Venezuela,4086,9808,2020
Vietnã,86,584,2020
