pais,qtd_litros,vlr_usd,ano
Afeganistão,,,2009
África do Sul,,,2009
"Alemanha, República Democrática",225086,393482,2009
Angola,54786,84235,2009
Anguilla,,,2009
Antígua e Barbuda,,,2009
Antilhas Holandesas,8235,10651,2009
Arábia Saudita,,,2009
Argentina,162,4523,2009
Aruba,,,2009
Austrália,1014,9195,2009
Áustria,,,2009
Bahamas,,,2009
Bangladesh,,,2009
Barbados,,,2009
Barein,,,2009
Bélgica,125962,58764,2009
Belice,,,2009
Benin,,,2009
Bermudas,,,2009
Bolívia,40463,20729,2009
Bósnia-Herzegovina,,,2009
Brasil,,,2009
Bulgária,,,2009
Cabo Verde,,,2009
Camarões,,,2009
Canadá,15664,73445,2009
Catar,,,2009
"Cayman, Ilhas",,,2009
Chile,1475,4297,2009
China,1553416,482400,2009
Chipre,,,2009
Cingapura,2419,6110,2009
"Cocos (Keeling), Ilhas",,,2009
Colômbia,,,2009
Comores,,,2009
Congo,,,2009
"Coreia, Republica Sul",,,2009
Costa do Marfim,,,2009
Costa Rica,,,2009
Croácia,,,2009
Cuba,,,2009
Curaçao,,,2009
Dinamarca,1980,21780,2009
Dominica,,,2009
El Salvador,55,100,2009
Emirados Arabes Unidos,1398,4032,2009
Equador,,,2009
"Eslovaca, Republica",,,2009
Espanha,2181,4050,2009
Estados Unidos,372319,660066,2009
Estônia,5438,10802,2009
Filipinas,,,2009
Finlândia,,,2009
França,,,2009
Gana,,,2009
Gibraltar,,,2009
Granada,,,2009
Grécia,,,2009
Guatemala,20,20,2009
Guiana,,,2009
Guiana Francesa,,,2009
Guine Bissau,,,2009
Guine Equatorial,169,272,2009
Haiti,4500,5863,2009
Honduras,14,30,2009
Hong Kong,50319,27188,2009
Hungria,,,2009
Ilha de Man,,,2009
Ilhas Virgens,,,2009
India,,,2009
Indonésia,,,2009
Irã,,,2009
Iraque,,,2009
Irlanda,,,2009
Itália,1817,5251,2009
Jamaica,,,2009
Japão,217974,283436,2009
Jordânia,,,2009
Letônia,,,2009
Líbano,,,2009
Libéria,,,2009
Luxemburgo,7845,42124,2009
Macau,,,2009
Malásia,,,2009
Malavi,,,2009
Malta,,,2009
"Marshall, Ilhas",,,2009
Martinica,,,2009
Mauritânia,,,2009
México,,,2009
Moçambique,,,2009
Montenegro,,,2009
Namíbia,,,2009
Nicarágua,24,24,2009
Nigéria,41,115,2009
Noruega,,,2009
Nova Caledônia,,,2009
Nova Zelândia,,,2009
Omã,,,2009
Países Baixos,171654,136991,2009
Palau,,,2009
Panamá,24,30,2009
Paraguai,486927,392087,2009
Peru,,,2009
Pitcairn,,,2009
Polônia,6982,35797,2009
Porto Rico,,,2009
Portugal,141000,168923,2009
Quênia,,,2009
Reino Unido,30092,68788,2009
República Dominicana,,,2009
Rússia,21912914,5732280,2009
São Cristóvão e Névis,,,2009
São Tomé e Príncipe,,,2009
São Vicente e Granadinas,,,2009
Senegal,,,2009
Serra Leoa,,,2009
Singapura,,,2009
Suazilândia,,,2009
Suécia,28334,52826,2009
Suíça,27653,81319,2009
Suriname,3830,12918,2009
Tailândia,,,2009
Taiwan (Formosa),,,2009
Tanzânia,,,2009
"Tcheca, República",9269,43902,2009
Togo,,,2009
Toquelau,,,2009
Trinidade Tobago,,,2009
Tunísia,,,2009
Turquia,,,2009
Tuvalu,,,2009
Uruguai,,,2009
Vanuatu,,,2009
Venezuela,,,2009
Vietnã,743,2143,2009
