pais,qtd_litros,vlr_usd,ano
Afeganistão,,,2011
África do Sul,,,2011
"Alemanha, República Democrática",36070,144150,2011
Angola,13889,69001,2011
Anguilla,,,2011
Antígua e Barbuda,,,2011
Antilhas Holandesas,7335,10188,2011
Arábia Saudita,,,2011
Argentina,13253,55460,2011
Aruba,900,1680,2011
Austrália,3632,40704,2011
Áustria,,,2011
Bahamas,4529,28810,2011
Bangladesh,,,2011
Barbados,,,2011
Barein,,,2011
Bélgica,11802,62339,2011
Belice,,,2011
Benin,,,2011
Bermudas,,,2011
Bolívia,12775,20215,2011
Bósnia-Herzegovina,,,2011
Brasil,,,2011
Bulgária,,,2011
Cabo Verde,600,825,2011
Camarões,,,2011
Canadá,28906,128076,2011
Catar,,,2011
"Cayman, Ilhas",,,2011
Chile,,,2011
China,54156,334867,2011
Chipre,,,2011
Cingapura,911,3317,2011
"Cocos (Keeling), Ilhas",,,2011
Colômbia,,,2011
Comores,,,2011
Congo,360,570,2011
"Coreia, Republica Sul",,,2011
Costa do Marfim,,,2011
Costa Rica,,,2011
Croácia,,,2011
Cuba,2880,4899,2011
Curaçao,,,2011
Dinamarca,32797,83057,2011
Dominica,,,2011
El Salvador,,,2011
Emirados Arabes Unidos,2120,6594,2011
Equador,,,2011
"Eslovaca, Republica",,,2011
Espanha,5206,24618,2011
Estados Unidos,306787,1030254,2011
Estônia,450,5336,2011
Filipinas,,,2011
Finlândia,12404,50394,2011
França,,,2011
Gana,,,2011
Gibraltar,,,2011
Granada,,,2011
Grécia,,,2011
Guatemala,,,2011
Guiana,,,2011
Guiana Francesa,,,2011
Guine Bissau,,,2011
Guine Equatorial,956,1979,2011
Haiti,,,2011
Honduras,,,2011
Hong Kong,2063,7975,2011
Hungria,,,2011
Ilha de Man,,,2011
Ilhas Virgens,,,2011
India,,,2011
Indonésia,,,2011
Irã,,,2011
Iraque,,,2011
Irlanda,5376,35690,2011
Itália,11999,80298,2011
Jamaica,,,2011
Japão,100835,144662,2011
Jordânia,,,2011
Letônia,,,2011
Líbano,,,2011
Libéria,,,2011
Luxemburgo,9547,65592,2011
Macau,,,2011
Malásia,,,2011
Malavi,,,2011
Malta,,,2011
"Marshall, Ilhas",,,2011
Martinica,,,2011
Mauritânia,,,2011
México,1350,7200,2011
Moçambique,,,2011
Montenegro,,,2011
Namíbia,,,2011
Nicarágua,,,2011
Nigéria,54,210,2011
Noruega,10268,78688,2011
Nova Caledônia,,,2011
Nova Zelândia,2587,7992,2011
Omã,,,2011
Países Baixos,125414,395356,2011
Palau,,,2011
Panamá,,,2011
Paraguai,240168,276281,2011
Peru,,,2011
Pitcairn,,,2011
Polônia,11732,50684,2011
Porto Rico,,,2011
Portugal,95,1031,2011
Quênia,,,2011
Reino Unido,122629,285642,2011
República Dominicana,,,2011
Rússia,,,2011
São Cristóvão e Névis,,,2011
São Tomé e Príncipe,,,2011
São Vicente e Granadinas,,,2011
Senegal,,,2011
Serra Leoa,,,2011
Singapura,,,2011
Suazilândia,,,2011
Suécia,1641,14476,2011
Suíça,,,2011
Suriname,3774,3735,2011
Tailândia,,,2011
Taiwan (Formosa),4500,10600,2011
Tanzânia,,,2011
"Tcheca, República",6846,37271,2011
Togo,,,2011
Toquelau,,,2011
Trinidade Tobago,,,2011
Tunísia,,,2011
Turquia,,,2011
Tuvalu,,,2011
Uruguai,1238,4404,2011
Vanuatu,,,2011
Venezuela,,,2011
Vietnã,,,2011
