pais,qtd_litros,vlr_usd,ano
Afeganistão,,,2017
África do Sul,,,2017
"Alemanha, República Democrática",15467,87702,2017
Angola,10170,61680,2017
Anguilla,,,2017
Antígua e Barbuda,,,2017
Antilhas Holandesas,5400,8550,2017
Arábia Saudita,,,2017
Argentina,,,2017
Aruba,,,2017
Austrália,1350,7500,2017
Áustria,,,2017
Bahamas,,,2017
Bangladesh,,,2017
Barbados,,,2017
Barein,,,2017
Bélgica,2790,16405,2017
Belice,,,2017
Benin,,,2017
Bermudas,,,2017
Bolívia,9495,23085,2017
Bósnia-Herzegovina,,,2017
Brasil,,,2017
Bulgária,117,1579,2017
Cabo Verde,,,2017
Camarões,1749,7476,2017
Canadá,6075,30658,2017
Catar,13338,81606,2017
"Cayman, Ilhas",,,2017
Chile,,,2017
China,67594,266086,2017
Chipre,,,2017
Cingapura,,,2017
"Cocos (Keeling), Ilhas",,,2017
Colômbia,,,2017
Comores,,,2017
Congo,,,2017
"Coreia, Republica Sul",,,2017
Costa do Marfim,,,2017
Costa Rica,,,2017
Croácia,,,2017
Cuba,62791,72229,2017
Curaçao,12340,23011,2017
Dinamarca,581,2829,2017
Dominica,,,2017
El Salvador,,,2017
Emirados Arabes Unidos,675,3302,2017
Equador,,,2017
"Eslovaca, Republica",,,2017
Espanha,,,2017
Estados Unidos,132688,1523699,2017
Estônia,,,2017
Filipinas,,,2017
Finlândia,,,2017
França,4253,21654,2017
Gana,,,2017
Gibraltar,,,2017
Granada,,,2017
Grécia,,,2017
Guatemala,,,2017
Guiana,,,2017
Guiana Francesa,,,2017
Guine Bissau,48,90,2017
Guine Equatorial,2639,30563,2017
Haiti,,,2017
Honduras,,,2017
Hong Kong,1934,8180,2017
Hungria,,,2017
Ilha de Man,,,2017
Ilhas Virgens,,,2017
India,,,2017
Indonésia,,,2017
Irã,,,2017
Iraque,,,2017
Irlanda,,,2017
Itália,468,2248,2017
Jamaica,,,2017
Japão,33909,92886,2017
Jordânia,,,2017
Letônia,387,3723,2017
Líbano,,,2017
Libéria,,,2017
Luxemburgo,2719,21947,2017
Macau,,,2017
Malásia,,,2017
Malavi,,,2017
Malta,,,2017
"Marshall, Ilhas",,,2017
Martinica,,,2017
Mauritânia,,,2017
México,664,2292,2017
Moçambique,,,2017
Montenegro,,,2017
Namíbia,,,2017
Nicarágua,,,2017
Nigéria,,,2017
Noruega,,,2017
Nova Caledônia,,,2017
Nova Zelândia,1678,8140,2017
Omã,,,2017
Países Baixos,,,2017
Palau,,,2017
Panamá,,,2017
Paraguai,2393468,4274650,2017
Peru,,,2017
Pitcairn,,,2017
Polônia,,,2017
Porto Rico,,,2017
Portugal,,,2017
Quênia,,,2017
Reino Unido,60711,242883,2017
República Dominicana,,,2017
Rússia,,,2017
São Cristóvão e Névis,,,2017
São Tomé e Príncipe,,,2017
São Vicente e Granadinas,,,2017
Senegal,,,2017
Serra Leoa,,,2017
Singapura,,,2017
Suazilândia,,,2017
Suécia,15445,64953,2017
Suíça,6525,74816,2017
Suriname,3690,5638,2017
Tailândia,,,2017
Taiwan (Formosa),14988,43954,2017
Tanzânia,,,2017
"Tcheca, República",2746,16947,2017
Togo,,,2017
Toquelau,,,2017
Trinidade Tobago,,,2017
Tunísia,,,2017
Turquia,,,2017
Tuvalu,,,2017
Uruguai,,,2017
Vanuatu,,,2017
Venezuela,680,2646,2017
Vietnã,,,2017
