pais,qtd_litros,vlr_usd,ano
Afeganistão,,,2019
África do Sul,26,95,2019
"Alemanha, República Democrática",3660,25467,2019
Angola,345,1065,2019
Anguilla,,,2019
Antígua e Barbuda,219,1549,2019
Antilhas Holandesas,,,2019
Arábia Saudita,,,2019
Argentina,,,2019
Aruba,,,2019
Austrália,1161,4682,2019
Áustria,,,2019
Bahamas,791,3124,2019
Bangladesh,,,2019
Barbados,36,394,2019
Barein,482,2144,2019
Bélgica,2498,12548,2019
Belice,9,29,2019
Benin,9,9,2019
Bermudas,,,2019
Bolívia,,,2019
Bósnia-Herzegovina,,,2019
Brasil,,,2019
Bulgária,,,2019
Cabo Verde,,,2019
Camarões,,,2019
Canadá,1589,6933,2019
Catar,,,2019
"Cayman, Ilhas",19,106,2019
Chile,,,2019
China,129852,376828,2019
Chipre,672,1843,2019
Cingapura,5044,19099,2019
"Cocos (Keeling), Ilhas",,,2019
Colômbia,897,1999,2019
Comores,,,2019
Congo,,,2019
"Coreia, Republica Sul",70,194,2019
Costa do Marfim,,,2019
Costa Rica,,,2019
Croácia,,,2019
Cuba,,,2019
Curaçao,33951,62067,2019
Dinamarca,240,306,2019
Dominica,,,2019
El Salvador,,,2019
Emirados Arabes Unidos,450,2202,2019
Equador,2,3,2019
"Eslovaca, Republica",,,2019
Espanha,3540,1353,2019
Estados Unidos,209765,616274,2019
Estônia,,,2019
Filipinas,736,2486,2019
Finlândia,,,2019
França,18286,67072,2019
Gana,7673,10010,2019
Gibraltar,23,93,2019
Granada,,,2019
Grécia,561,1994,2019
Guatemala,1597,8719,2019
Guiana,424,1311,2019
Guiana Francesa,,,2019
Guine Bissau,,,2019
Guine Equatorial,,,2019
Haiti,81873,129803,2019
Honduras,,,2019
Hong Kong,9651,42020,2019
Hungria,,,2019
Ilha de Man,28,175,2019
Ilhas Virgens,,,2019
India,51,273,2019
Indonésia,,,2019
Irã,,,2019
Iraque,,,2019
Irlanda,,,2019
Itália,587,1625,2019
Jamaica,,,2019
Japão,40621,99642,2019
Jordânia,,,2019
Letônia,,,2019
Líbano,,,2019
Libéria,4441,20068,2019
Luxemburgo,1666,11211,2019
Macau,,,2019
Malásia,48,110,2019
Malavi,,,2019
Malta,3661,8828,2019
"Marshall, Ilhas",7276,15786,2019
Martinica,,,2019
Mauritânia,,,2019
México,4,4,2019
Moçambique,,,2019
Montenegro,9,46,2019
Namíbia,,,2019
Nicarágua,,,2019
Nigéria,28437,38555,2019
Noruega,628,3139,2019
Nova Caledônia,,,2019
Nova Zelândia,500,2832,2019
Omã,,,2019
Países Baixos,44882,148031,2019
Palau,,,2019
Panamá,7918,29017,2019
Paraguai,2419537,3826587,2019
Peru,9755,17310,2019
Pitcairn,,,2019
Polônia,5,11,2019
Porto Rico,,,2019
Portugal,18328,72413,2019
Quênia,,,2019
Reino Unido,34295,164592,2019
República Dominicana,,,2019
Rússia,,,2019
São Cristóvão e Névis,,,2019
São Tomé e Príncipe,,,2019
São Vicente e Granadinas,,,2019
Senegal,,,2019
Serra Leoa,18,717,2019
Singapura,,,2019
Suazilândia,,,2019
Suécia,28,761,2019
Suíça,2223,28503,2019
Suriname,3206,4741,2019
Tailândia,128,832,2019
Taiwan (Formosa),12,67,2019
Tanzânia,,,2019
"Tcheca, República",2115,16391,2019
Togo,,,2019
Toquelau,,,2019
Trinidade Tobago,,,2019
Tunísia,,,2019
Turquia,115,209,2019
Tuvalu,,,2019
Uruguai,6180,18497,2019
Vanuatu,,,2019
Venezuela,,,2019
Vietnã,20,32,2019
